Question,Gold Standard Entities,Gold Standard Relations,FALCON_Entities,P_E,R_E,FALCON_Relations,P_R,R_R
Which university of Alexandre Tichonov is the place of death of Valentin Muratov /,"['http://dbpedia.org/resource/Alexandre_Tichonov', 'http://dbpedia.org/resource/Valentin_Muratov']","['http://dbpedia.org/property/university', 'http://dbpedia.org/property/placeOfDeath']","['http://dbpedia.org/resource/Alexandre_Tichonov', 'http://dbpedia.org/resource/Valentin_Muratov']",1.0,1.0,[],0,0.0
What are the common houses of US Congress and the Kansas Legislature?,"['http://dbpedia.org/resource/United_States_Congress', 'http://dbpedia.org/resource/Kansas_Legislature']","['http://dbpedia.org/ontology/house', 'http://dbpedia.org/property/houses']","['http://aksw.org/notInWiki/theKansasLegislature', 'http://dbpedia.org/resource/United_States_Congress']",0.5,0.5,[],0,0.0
Which administrative headquarters of the Pulau Ubin is also the resting place of the Nicole Lai,"['http://dbpedia.org/resource/Pulau_Ubin', 'http://dbpedia.org/resource/Nicole_Lai']","['http://dbpedia.org/ontology/capital', 'http://dbpedia.org/ontology/restingPlace']","['http://aksw.org/notInWiki/thePulauUbin', 'http://dbpedia.org/resource/Nicole_Lai']",0.5,0.5,['http://dbpedia.org/ontology/restingPlace'],1.0,0.5
What is the common military branch of the Thomas Darden and that of Edwin F. Hunter,"['http://dbpedia.org/resource/Thomas_Darden', 'http://dbpedia.org/resource/Edwin_F._Hunter']","['http://dbpedia.org/ontology/militaryBranch', 'http://dbpedia.org/property/branch']","['http://aksw.org/notInWiki/theThomasDarden', 'http://dbpedia.org/resource/Edwin_F._Hunter']",0.5,0.5,[],0,0.0
Which is the university of Vanderbilt Commodores ?,['http://dbpedia.org/resource/Vanderbilt_Commodores'],['http://dbpedia.org/ontology/university'],['http://dbpedia.org/resource/Vanderbilt_Commodores'],1.0,1.0,[],0,0.0
Which athlete was the flag bearer for Switzerland in 2004 and 2008 summer Olympics ?,"['http://dbpedia.org/resource/Switzerland_at_the_2004_Summer_Olympics', 'http://dbpedia.org/resource/Switzerland_at_the_2008_Summer_Olympics']","['http://dbpedia.org/property/flagbearer', 'http://dbpedia.org/property/flagbearer']","['http://dbpedia.org/resource/Switzerland', 'http://dbpedia.org/resource/Olympic_Games', 'http://aksw.org/notInWiki/2008', 'http://aksw.org/notInWiki/2004']",0.0,0.0,[],0,0.0
Which fictional character's portrayer was edited by Roger Barton?,['http://dbpedia.org/resource/Roger_Barton_(film_editor)'],"['http://dbpedia.org/ontology/portrayer', 'http://dbpedia.org/property/editing']",['http://aksw.org/notInWiki/RogerBarton'],0.0,0.0,['http://dbpedia.org/ontology/editor'],0.0,0.0
Which country does the current team of Darren McNamara belong to?,['http://dbpedia.org/resource/Darren_McNamara'],"['http://dbpedia.org/ontology/locationCountry', 'http://dbpedia.org/property/currentTeam']",['http://dbpedia.org/resource/Darren_McNamara'],1.0,1.0,['http://dbpedia.org/ontology/date'],0.0,0.0
List some pupils of National Science Medal winning scientists?,['http://dbpedia.org/resource/National_Medal_of_Science'],"['http://dbpedia.org/property/prizes', 'http://dbpedia.org/property/doctoralStudents']",[],0,0.0,['http://dbpedia.org/ontology/firstDriverTeam'],0.0,0.0
Which is the common nation of Louisa Hill and American Football Wellington from?,"['http://dbpedia.org/resource/Louisa_Hill', 'http://dbpedia.org/resource/American_Football_Wellington']","['http://dbpedia.org/ontology/country', 'http://dbpedia.org/ontology/country']","['http://dbpedia.org/resource/American_Football_Wellington', 'http://dbpedia.org/resource/Louisa_Hill']",1.0,1.0,[],0,0.0
Was robert sarvis a nominee of the US Senate?,"['http://dbpedia.org/resource/Robert_Sarvis', 'http://dbpedia.org/resource/United_States_Senate']",['http://dbpedia.org/ontology/nominee'],"['http://aksw.org/notInWiki/robertsarvis', 'http://dbpedia.org/resource/Senate', 'http://aksw.org/notInWiki/US']",0.0,0.0,[],0,0.0
Name the TV show which has judge as harry Connick and is broadcasted on Fox Broadcasting Company ?,"['http://dbpedia.org/resource/Fox_Broadcasting_Company', 'http://dbpedia.org/resource/Harry_Connick,_Jr.']","['http://dbpedia.org/ontology/channel', 'http://dbpedia.org/property/judges']","['http://dbpedia.org/resource/Fox_Broadcasting_Company', 'http://aksw.org/notInWiki/harryConnick']",0.5,0.5,['http://dbpedia.org/ontology/speaker'],0.0,0.0
"What company brought Riddim Ribbon to the market, and developed the batch monitor?","['http://dbpedia.org/resource/Batch_Monitor', 'http://dbpedia.org/resource/Riddim_Ribbon_feat._The_Black_Eyed_Peas']","['http://dbpedia.org/property/developer', 'http://dbpedia.org/property/distributor']",['http://dbpedia.org/resource/Riddim_Ribbon'],0.0,0.0,"['http://dbpedia.org/ontology/result', 'http://dbpedia.org/ontology/developer']",0.5,0.5
Who is the successor of McDonnell Douglas ?,['http://dbpedia.org/resource/McDonnell_Douglas'],['http://dbpedia.org/property/successor'],['http://dbpedia.org/resource/McDonnell_Douglas'],1.0,1.0,[],0,0.0
where did Boga originate?,['http://dbpedia.org/resource/Boga_(soft_drink)'],['http://dbpedia.org/property/origin'],['http://aksw.org/notInWiki/Boga'],0.0,0.0,['http://dbpedia.org/ontology/engineer'],0.0,0.0
What is the order of the Henry Clay and profession of the William Luther Hill?,"['http://dbpedia.org/resource/Henry_Clay', 'http://dbpedia.org/resource/William_Luther_Hill']","['http://dbpedia.org/ontology/profession', 'http://dbpedia.org/property/order']","['http://aksw.org/notInWiki/theWilliamLutherHill', 'http://aksw.org/notInWiki/theHenryClay']",0.0,0.0,[],0,0.0
Name the co-founder of the record labels which have one of the founder as Chris DuBois ?,['http://dbpedia.org/resource/Chris_DuBois'],"['http://dbpedia.org/property/founder', 'http://dbpedia.org/property/founder']","['http://dbpedia.org/resource/Chris_DuBois', 'http://aksw.org/notInWiki/one']",0.5,1.0,[],0,0.0
Who is the builder of Estadio Nacional de Costa Rica and also location of Xianren Cave ?,"['http://dbpedia.org/resource/Estadio_Nacional_de_Costa_Rica_(2011)', 'http://dbpedia.org/resource/Xianren_Cave']","['http://dbpedia.org/ontology/builder', 'http://dbpedia.org/ontology/country']","['http://aksw.org/notInWiki/EstadioNacionaldeCostaRica', 'http://dbpedia.org/resource/Xianren_Cave']",0.5,0.5,['http://dbpedia.org/ontology/river'],0.0,0.0
what does the cahora bassa flow into?,['http://dbpedia.org/resource/Cahora_Bassa'],['http://dbpedia.org/property/inflow'],[],0,0.0,['http://dbpedia.org/ontology/time'],0.0,0.0
What awards have been given to the anyone who raced in the Lawrence Realization Stakes?,['http://dbpedia.org/resource/Lawrence_Realization_Stakes'],"['http://dbpedia.org/ontology/honours', 'http://dbpedia.org/property/race']",['http://aksw.org/notInWiki/theLawrenceRealizationStakes'],0.0,0.0,['http://dbpedia.org/ontology/races'],0.0,0.0
"How many home stadium are there, of the soccer club seasons whose chairman is Merritt Paulson?",['http://dbpedia.org/resource/Merritt_Paulson'],"['http://dbpedia.org/ontology/homeStadium', 'http://dbpedia.org/property/chairman']",['http://dbpedia.org/resource/Merritt_Paulson'],1.0,1.0,[],0,0.0
Name the scientist whose academic advisor is Karl Ewald Hasse and supervisor is Georg Meissner?,"['http://dbpedia.org/resource/Karl_Ewald_Hasse', 'http://dbpedia.org/resource/Georg_Meissner']","['http://dbpedia.org/ontology/academicAdvisor', 'http://dbpedia.org/property/doctoralAdvisor']","['http://dbpedia.org/resource/Karl_Ewald_Hasse', 'http://dbpedia.org/resource/Georg_Meissner']",1.0,1.0,[],0,0.0
Erik Jendresen is writer and Play tone is company of which TV show ?,"['http://dbpedia.org/resource/Erik_Jendresen', 'http://dbpedia.org/resource/Playtone']","['http://dbpedia.org/property/writer', 'http://dbpedia.org/property/company']",['http://aksw.org/notInWiki/erikJendresen'],0.0,0.0,['http://dbpedia.org/ontology/starring'],0.0,0.0
Name the resting place of Charles Edward Magoon ?,['http://dbpedia.org/resource/Charles_Edward_Magoon'],['http://dbpedia.org/property/restingplace'],['http://dbpedia.org/resource/Charles_Edward_Magoon'],1.0,1.0,['http://dbpedia.org/ontology/restingPlace'],0.0,0.0
Where is the residence of the governor of Bangkok ?,['http://dbpedia.org/resource/Bangkok'],"['http://dbpedia.org/ontology/leaderName', 'http://dbpedia.org/property/residence']",['http://dbpedia.org/resource/Bangkok'],1.0,1.0,[],0,0.0
Who owns the newspaper which was founded by Nehru?,['http://dbpedia.org/resource/Jawaharlal_Nehru'],"['http://dbpedia.org/ontology/owner', 'http://dbpedia.org/property/founder']",['http://dbpedia.org/resource/Jawaharlal_Nehru'],1.0,1.0,"['http://dbpedia.org/ontology/relation', 'http://dbpedia.org/ontology/foundedBy']",0.0,0.0
who all play for of the american football players at  Quarterback position?,['http://dbpedia.org/resource/Quarterback'],"['http://dbpedia.org/ontology/team', 'http://dbpedia.org/property/position']",['http://dbpedia.org/resource/Quarterback'],1.0,1.0,['http://dbpedia.org/ontology/starring'],0.0,0.0
In which region was political figure Wayne Allard elected?,['http://dbpedia.org/resource/Wayne_Allard'],['http://dbpedia.org/ontology/region'],['http://dbpedia.org/resource/Wayne_Allard'],1.0,1.0,['http://dbpedia.org/ontology/established'],0.0,0.0
Which party of Rishang Keishing is the leader at Manendragarh ?,"['http://dbpedia.org/resource/Manendragarh', 'http://dbpedia.org/resource/Rishang_Keishing']","['http://dbpedia.org/ontology/leaderName', 'http://dbpedia.org/property/party']","['http://dbpedia.org/resource/Rishang_Keishing', 'http://dbpedia.org/resource/Manendragarh']",1.0,1.0,[],0,0.0
Where is Emmett Hughes from?,['http://dbpedia.org/resource/Emmett_Hughes'],['http://dbpedia.org/ontology/nationality'],['http://dbpedia.org/resource/Emmett_Hughes'],1.0,1.0,[],0,0.0
Name the district of Robert William Wilcox ?,['http://dbpedia.org/resource/Robert_William_Wilcox'],['http://dbpedia.org/property/district'],['http://dbpedia.org/resource/Robert_William_Wilcox'],1.0,1.0,[],0,0.0
Who is the author of Karakuri Dji Ultimo ?,['http://dbpedia.org/resource/Karakuri_Dôji_Ultimo'],['http://dbpedia.org/property/author'],['http://aksw.org/notInWiki/KarakuriDjiUltimo'],0.0,0.0,[],0,0.0
Name the movies in which music is give by  Laurie Johnson and edited by Anthony Harvey ?,"['http://dbpedia.org/resource/Laurie_Johnson', 'http://dbpedia.org/resource/Anthony_Harvey']","['http://dbpedia.org/ontology/editing', 'http://dbpedia.org/property/music']","['http://dbpedia.org/resource/Anthony_Harvey', 'http://dbpedia.org/resource/Laurie_Johnson']",1.0,1.0,['http://dbpedia.org/ontology/editor'],0.0,0.0
What are some districts in the Tendring borough?,['http://dbpedia.org/resource/Tendring'],"['http://dbpedia.org/ontology/district', 'http://dbpedia.org/property/borough']",['http://dbpedia.org/resource/Tendring'],1.0,1.0,['http://dbpedia.org/ontology/transmission'],0.0,0.0
What are the television shows which are in NTSC and 5.1 surround sound?,"['http://dbpedia.org/resource/NTSC', 'http://dbpedia.org/resource/5.1_surround_sound']","['http://dbpedia.org/ontology/format', 'http://dbpedia.org/ontology/format']","['http://dbpedia.org/resource/NTSC', 'http://aksw.org/notInWiki/51']",0.5,0.5,[],0,0.0
Give me a count of bacterias which belongs to Bacilli class?,['http://dbpedia.org/resource/Bacilli'],['http://dbpedia.org/ontology/class'],['http://dbpedia.org/resource/Bacilli'],1.0,1.0,['http://dbpedia.org/ontology/date'],0.0,0.0
 Name the city whose province is Metropolitan City of Venice and has leader as Luigi Brugnaro ?,"['http://dbpedia.org/resource/Metropolitan_City_of_Venice', 'http://dbpedia.org/resource/Luigi_Brugnaro']","['http://dbpedia.org/ontology/leaderName', 'http://dbpedia.org/property/province']","['http://dbpedia.org/resource/Metropolis', 'http://dbpedia.org/resource/Luigi_Brugnaro', 'http://dbpedia.org/resource/Venice']",0.3333333333333333,0.5,[],0,0.0
"In which sects was the aristocrat venerated, whose parent is Thelred the Unready?",['http://dbpedia.org/resource/Æthelred_the_Unready'],"['http://dbpedia.org/ontology/parent', 'http://dbpedia.org/property/veneratedIn']",['http://aksw.org/notInWiki/ThelredtheUnready'],0.0,0.0,[],0,0.0
Name the television show whose voice is given by April Stewart and it's distributor is Broadcast syndication?,"['http://dbpedia.org/resource/April_Stewart', 'http://dbpedia.org/resource/Broadcast_syndication']","['http://dbpedia.org/ontology/distributor', 'http://dbpedia.org/property/voices']",['http://dbpedia.org/resource/April_Stewart'],1.0,0.5,[],0,0.0
What is the appliance build jointly by Sony and Asus?,"['http://dbpedia.org/resource/Sony', 'http://dbpedia.org/resource/Asus']","['http://dbpedia.org/ontology/manufacturer', 'http://dbpedia.org/ontology/manufacturer']","['http://dbpedia.org/resource/Asus', 'http://dbpedia.org/resource/Sony']",1.0,1.0,['http://dbpedia.org/ontology/ground'],0.0,0.0
What games are played at institutions affiliated with the international association of universities?,['http://dbpedia.org/resource/International_Association_of_Universities'],"['http://dbpedia.org/ontology/sport', 'http://dbpedia.org/property/affiliations']",[],0,0.0,"['http://dbpedia.org/ontology/portrayer', 'http://dbpedia.org/ontology/related']",0.0,0.0
Whose units are responsible for close air support?,['http://dbpedia.org/resource/Close_air_support'],"['http://dbpedia.org/ontology/militaryUnit', 'http://dbpedia.org/property/role']",[],0,0.0,[],0,0.0
Which work of Craig van Tilbury is close to the area of The Chess Monthyl ?,"['http://dbpedia.org/resource/The_Chess_Monthly', 'http://dbpedia.org/resource/Craig_Van_Tilbury']","['http://dbpedia.org/ontology/occupation', 'http://dbpedia.org/property/discipline']","['http://aksw.org/notInWiki/TheChessMonthyl', 'http://aksw.org/notInWiki/CraigvanTilbury']",0.0,0.0,[],0,0.0
 Count the participants of the NBA.,['http://dbpedia.org/resource/National_Basketball_Association'],['http://dbpedia.org/ontology/league'],['http://dbpedia.org/resource/National_Basketball_Association'],1.0,1.0,[],0,0.0
How many politicians are in the US Senate?,['http://dbpedia.org/resource/United_States_Senate'],['http://dbpedia.org/property/order'],"['http://dbpedia.org/resource/Senate', 'http://aksw.org/notInWiki/US']",0.0,0.0,[],0,0.0
How many players participated in the 2004-05 FC Barcelona season?,['http://dbpedia.org/resource/2004–05_FC_Barcelona_season'],['http://dbpedia.org/property/name'],"['http://aksw.org/notInWiki/FCBarcelonaseason', 'http://aksw.org/notInWiki/2004-05']",0.0,0.0,['http://dbpedia.org/ontology/participant'],0.0,0.0
Count everyone who studied at an institute which are in Suburbs?,['http://dbpedia.org/resource/Suburb'],"['http://dbpedia.org/ontology/campus', 'http://dbpedia.org/property/education']",['http://dbpedia.org/resource/Suburb'],1.0,1.0,['http://dbpedia.org/ontology/course'],0.0,0.0
Which source of broad creek is the Audenried tunnel located ?,"['http://dbpedia.org/resource/Broad_Creek_(Susquehanna_River)', 'http://dbpedia.org/resource/Audenried_Tunnel']","['http://dbpedia.org/ontology/source', 'http://dbpedia.org/ontology/location']",['http://aksw.org/notInWiki/theAudenriedtunnel'],0.0,0.0,['http://dbpedia.org/ontology/locatedInArea'],0.0,0.0
Count me the number of people whose military unit is involved with Close air support ?,['http://dbpedia.org/resource/Close_air_support'],"['http://dbpedia.org/ontology/militaryUnit', 'http://dbpedia.org/property/role']",[],0,0.0,['http://dbpedia.org/ontology/address'],0.0,0.0
Who were fighting the war where the QF Hotchkiss was used?,['http://dbpedia.org/resource/QF_6-pounder_Hotchkiss'],"['http://dbpedia.org/ontology/usedInWar', 'http://dbpedia.org/ontology/territory']",['http://aksw.org/notInWiki/theQFHotchkiss'],0.0,0.0,['http://dbpedia.org/ontology/battle'],0.0,0.0
"What awards have been given to the artists coming out of the university of Melbourne, faculty of VCA and MCM?",['http://dbpedia.org/resource/University_of_Melbourne_Faculty_of_VCA_and_MCM'],"['http://dbpedia.org/ontology/training', 'http://dbpedia.org/ontology/award']","['http://dbpedia.org/resource/.au', 'http://aksw.org/notInWiki/MCM', 'http://aksw.org/notInWiki/VCA']",0.0,0.0,['http://dbpedia.org/ontology/debut'],0.0,0.0
Which universities are alma mater to Charles Plosser?,['http://dbpedia.org/resource/Charles_Plosser'],['http://dbpedia.org/property/almaMater'],['http://dbpedia.org/resource/Charles_Plosser'],1.0,1.0,[],0,0.0
Where was the Temptation Waits recorded?,['http://dbpedia.org/resource/Temptation_Waits'],['http://dbpedia.org/ontology/recordedIn'],['http://aksw.org/notInWiki/theTemptationWaits'],0.0,0.0,['http://dbpedia.org/ontology/recordedIn'],1.0,1.0
Name the species of Panthera leo fossilis ?,['http://dbpedia.org/resource/Panthera_leo_fossilis'],['http://dbpedia.org/ontology/species'],['http://dbpedia.org/resource/Panthera_leo_fossilis'],1.0,1.0,[],0,0.0
What is the associated band of the musical artist who is the producer of The Trumpet Kings Meet Joe Turner ?,['http://dbpedia.org/resource/The_Trumpet_Kings_Meet_Joe_Turner'],"['http://dbpedia.org/ontology/associatedBand', 'http://dbpedia.org/property/producer']","['http://aksw.org/notInWiki/TheTrumpetKings', 'http://aksw.org/notInWiki/JoeTurner']",0.0,0.0,[],0,0.0
Name the driver who had a pole finish in 1989 Portuguese Grand Prix ?,['http://dbpedia.org/resource/1989_Portuguese_Grand_Prix'],['http://dbpedia.org/ontology/poleDriver'],"['http://aksw.org/notInWiki/Portuguese', 'http://aksw.org/notInWiki/1989']",0.0,0.0,[],0,0.0
what are some common surnames of female people?,['http://dbpedia.org/resource/Female'],['http://dbpedia.org/property/gender'],[],0,0.0,[],0,0.0
Give me the total number of membership of the organisations which have memebers as  Azerbaijan?,['http://dbpedia.org/resource/Azerbaijan'],"['http://dbpedia.org/property/membership', 'http://dbpedia.org/property/membership']",['http://dbpedia.org/resource/Azerbaijan'],1.0,1.0,[],0,0.0
Who is the builder of the bridge owned by Tabriz ?,['http://dbpedia.org/resource/Tabriz'],"['http://dbpedia.org/ontology/builder', 'http://dbpedia.org/property/owner']",['http://dbpedia.org/resource/Tabriz'],1.0,1.0,['http://dbpedia.org/ontology/owner'],1.0,0.5
Which show's theme music was composed by Primus and voiced by Isaac Hayes?,"['http://dbpedia.org/resource/Primus_(band)', 'http://dbpedia.org/resource/Isaac_Hayes']","['http://dbpedia.org/property/themeMusicComposer', 'http://dbpedia.org/property/voices']","['http://dbpedia.org/resource/Isaac_Hayes', 'http://dbpedia.org/resource/PRIMUS_(journal)']",0.5,0.5,"['http://dbpedia.org/ontology/show', 'http://dbpedia.org/ontology/musicComposer', 'http://dbpedia.org/ontology/voice']",0.0,0.0
Which city's governing body is led by Bruce Harrell?,['http://dbpedia.org/resource/Bruce_Harrell'],"['http://dbpedia.org/ontology/leader', 'http://dbpedia.org/property/governingBody']",['http://dbpedia.org/resource/Bruce_Harrell'],1.0,1.0,"['http://dbpedia.org/ontology/governingBody', 'http://dbpedia.org/ontology/vein']",0.5,0.5
What are the reason served by Toll Global Express which is also the country of LPGA ?,"['http://dbpedia.org/resource/Toll_Global_Express', 'http://dbpedia.org/resource/LPGA']","['http://dbpedia.org/ontology/regionServed', 'http://dbpedia.org/ontology/country']","['http://dbpedia.org/resource/Toll_Global_Express', 'http://dbpedia.org/resource/LPGA']",1.0,1.0,['http://dbpedia.org/ontology/regionServed'],1.0,0.5
"Give the total number of places to which airlines go, who also go to Glasgow?",['http://dbpedia.org/resource/Glasgow_Airport'],"['http://dbpedia.org/ontology/targetAirport', 'http://dbpedia.org/property/destinations']",['http://dbpedia.org/resource/Glasgow'],0.0,0.0,[],0,0.0
"Where does the rail route, which ends at the Moskovsky station, begins?",['http://dbpedia.org/resource/Moskovsky_railway_station_(Saint_Petersburg)'],"['http://dbpedia.org/ontology/routeEnd', 'http://dbpedia.org/ontology/routeStart']",['http://aksw.org/notInWiki/Moskovsky'],0.0,0.0,['http://dbpedia.org/ontology/equipment'],0.0,0.0
What are the television shows whose writers did notable work for Band of Brothers ?,['http://dbpedia.org/resource/Band_of_Brothers_(miniseries)'],"['http://dbpedia.org/ontology/notableWork', 'http://dbpedia.org/property/writer']",['http://aksw.org/notInWiki/BandofBrothers'],0.0,0.0,[],0,0.0
Was 12th Field Artillery Regiment garrisoned at colorado?,"['http://dbpedia.org/resource/12th_Field_Artillery_Regiment', 'http://dbpedia.org/resource/Colorado']",['http://dbpedia.org/ontology/garrison'],"['http://aksw.org/notInWiki/FieldArtilleryRegiment', 'http://dbpedia.org/resource/Colorado', 'http://aksw.org/notInWiki/12th']",0.3333333333333333,0.5,['http://dbpedia.org/ontology/garrison'],1.0,1.0
Who is the common prime minster of William Deaner and mark Latham ?,"['http://dbpedia.org/resource/William_Deane', 'http://dbpedia.org/resource/Mark_Latham']","['http://dbpedia.org/ontology/primeMinister', 'http://dbpedia.org/property/primeminister']","['http://aksw.org/notInWiki/WilliamDeaner', 'http://aksw.org/notInWiki/Latham']",0.0,0.0,['http://dbpedia.org/ontology/flag'],0.0,0.0
What is the genre of the Band whose home town is County Westmeath?,['http://dbpedia.org/resource/County_Westmeath'],"['http://dbpedia.org/ontology/hometown', 'http://dbpedia.org/property/genre']",['http://dbpedia.org/resource/County_Westmeath'],1.0,1.0,[],0,0.0
What is the municipality of Patterson Houses ?,['http://dbpedia.org/resource/Patterson_Houses'],['http://dbpedia.org/ontology/municipality'],['http://dbpedia.org/resource/Patterson_Houses'],1.0,1.0,[],0,0.0
"What is the successor of the governors whose child is Levi Lincoln, Jr.?","['http://dbpedia.org/resource/Levi_Lincoln,_Jr.']","['http://dbpedia.org/property/children', 'http://dbpedia.org/property/successor']","['http://aksw.org/notInWiki/LeviLincoln', 'http://aksw.org/notInWiki/Jr']",0.0,0.0,[],0,0.0
Was Gareth Southgate a manager of Middlesbrough F.C.?,"['http://dbpedia.org/resource/Gareth_Southgate', 'http://dbpedia.org/resource/Middlesbrough_F.C.']",['http://dbpedia.org/property/managerclubs'],"['http://dbpedia.org/resource/Middlesbrough_F.C.', 'http://dbpedia.org/resource/Gareth_Southgate']",1.0,1.0,[],0,0.0
"In which city is the building, whose part is the Martin AN/FSG1 anti aircraft system?",['http://dbpedia.org/resource/Martin_AN/FSG-1_Antiaircraft_Defense_System'],"['http://dbpedia.org/ontology/part', 'http://dbpedia.org/property/district']",['http://aksw.org/notInWiki/FSG1'],0.0,0.0,[],0,0.0
Count the number of sports played by the universities whihc also plays Volleyball ?,['http://dbpedia.org/resource/Volleyball'],"['http://dbpedia.org/ontology/athletics', 'http://dbpedia.org/property/athletics']",[],0,0.0,"['http://dbpedia.org/ontology/portrayer', 'http://dbpedia.org/ontology/name', 'http://dbpedia.org/ontology/plays']",0.0,0.0
In which religions are both Pope Gregory 1 and Edwin of northumbria reverred?,"['http://dbpedia.org/resource/Pope_Gregory_I', 'http://dbpedia.org/resource/Edwin_of_Northumbria']","['http://dbpedia.org/property/veneratedIn', 'http://dbpedia.org/property/veneratedIn']","['http://dbpedia.org/resource/Edwin_of_Northumbria', 'http://aksw.org/notInWiki/Gregory1']",0.5,0.5,['http://dbpedia.org/ontology/pastor'],0.0,0.0
Which wine region of Bogdanua is the Croatian Inline hockey team part of ?,"['http://dbpedia.org/resource/Bogdanuša', 'http://dbpedia.org/resource/Croatian_Inline_Hockey_League']","['http://dbpedia.org/ontology/wineRegion', 'http://dbpedia.org/ontology/country']","['http://aksw.org/notInWiki/CroatianInline', 'http://aksw.org/notInWiki/Bogdanua']",0.0,0.0,[],0,0.0
For which games are Sam Loyd and Eric Schiller both famous?,"['http://dbpedia.org/resource/Sam_Loyd', 'http://dbpedia.org/resource/Eric_Schiller']","['http://dbpedia.org/ontology/knownFor', 'http://dbpedia.org/ontology/knownFor']","['http://dbpedia.org/resource/Eric_Schiller', 'http://dbpedia.org/resource/Sam_Loyd']",1.0,1.0,[],0,0.0
Count the number of religions followed by Janta Dal members.,['http://dbpedia.org/resource/Janata_Dal'],"['http://dbpedia.org/ontology/religion', 'http://dbpedia.org/property/party']",['http://aksw.org/notInWiki/JantaDal'],0.0,0.0,[],0,0.0
Does Lousana lie at the end of Alberta Highway 42?,"['http://dbpedia.org/resource/Alberta_Highway_42', 'http://dbpedia.org/resource/Lousana']",['http://dbpedia.org/ontology/routeEnd'],"['http://aksw.org/notInWiki/AlbertaHighway', 'http://dbpedia.org/resource/Lousana', 'http://aksw.org/notInWiki/42']",0.3333333333333333,0.5,['http://dbpedia.org/ontology/position'],0.0,0.0
Which president of United States had vice president as John Adams?,['http://dbpedia.org/resource/John_Adams'],['http://dbpedia.org/ontology/vicePresident'],"['http://dbpedia.org/resource/United_States', 'http://dbpedia.org/resource/John_Adams']",0.5,1.0,[],0,0.0
Where are the tombs of kings and queens who have died in England?,['http://dbpedia.org/resource/England'],"['http://dbpedia.org/property/placeOfDeath', 'http://dbpedia.org/property/placeOfBurial']",['http://dbpedia.org/resource/England'],1.0,1.0,['http://dbpedia.org/ontology/house'],0.0,0.0
Where was the successor of Hank Brown born?,['http://dbpedia.org/resource/Hank_Brown'],"['http://dbpedia.org/ontology/birthPlace', 'http://dbpedia.org/property/successor']",['http://dbpedia.org/resource/Hank_Brown'],1.0,1.0,['http://dbpedia.org/ontology/birthPlace'],1.0,0.5
Greek writers have won which award?,['http://dbpedia.org/resource/Greeks'],"['http://dbpedia.org/ontology/award', 'http://dbpedia.org/property/ethnicity']",[],0,0.0,['http://dbpedia.org/ontology/award'],1.0,0.5
Give me a count of movies whose producer is Larry J. Franco?,['http://dbpedia.org/resource/Larry_J._Franco'],['http://dbpedia.org/ontology/producer'],['http://dbpedia.org/resource/Larry_J._Franco'],1.0,1.0,[],0,0.0
Who authored the works published in the Jump Square Magazine?,['http://dbpedia.org/resource/Jump_Square'],"['http://dbpedia.org/property/magazine', 'http://dbpedia.org/property/author']",['http://aksw.org/notInWiki/theJumpSquareMagazine'],0.0,0.0,"['http://dbpedia.org/ontology/author', 'http://dbpedia.org/ontology/author']",0.5,0.5
Name the partners of Kelly Brook?,['http://dbpedia.org/resource/Kelly_Brook'],['http://dbpedia.org/ontology/partner'],['http://dbpedia.org/resource/Kelly_Brook'],1.0,1.0,[],0,0.0
What is the TV Show whose theme is composed by someone signed up with Prawn Song Records?,['http://dbpedia.org/resource/Prawn_Song_Records'],"['http://dbpedia.org/ontology/recordLabel', 'http://dbpedia.org/property/themeMusicComposer']",['http://dbpedia.org/resource/Prawn_Song_Records'],1.0,1.0,"['http://dbpedia.org/ontology/musicComposer', 'http://dbpedia.org/ontology/precursor']",0.0,0.0
Count everyone who lives in a place where Indian English is an official language ?,['http://dbpedia.org/resource/Indian_English'],"['http://dbpedia.org/ontology/officialLanguage', 'http://dbpedia.org/ontology/residence']","['http://aksw.org/notInWiki/English', 'http://aksw.org/notInWiki/Indian']",0.0,0.0,['http://dbpedia.org/ontology/lyrics'],0.0,0.0
Count the  total number of mammals whose phylum is Chordate and order (taxonomy) is Diprotodontia?,"['http://dbpedia.org/resource/Chordate', 'http://dbpedia.org/resource/Diprotodontia']","['http://dbpedia.org/ontology/phylum', 'http://dbpedia.org/ontology/order']",[],0,0.0,[],0,0.0
Where does Dennis DeConcini and Scott Berkun both live?,"['http://dbpedia.org/resource/Scott_Berkun', 'http://dbpedia.org/resource/Dennis_DeConcini']","['http://dbpedia.org/property/residence', 'http://dbpedia.org/property/residence']","['http://dbpedia.org/resource/Dennis_DeConcini', 'http://dbpedia.org/resource/Scott_Berkun']",1.0,1.0,['http://dbpedia.org/ontology/residence'],1.0,0.5
Where does John A Danaher III work?,['http://dbpedia.org/resource/John_A._Danaher_III'],['http://dbpedia.org/property/office'],['http://dbpedia.org/resource/John_A._Danaher_III'],1.0,1.0,[],0,0.0
"What is the location town of First Church of Christ, Scientist (Pittsburgh) ?","['http://dbpedia.org/resource/First_Church_of_Christ,_Scientist_(Pittsburgh)']",['http://dbpedia.org/property/locationTown'],"['http://aksw.org/notInWiki/FirstChurchofChrist', 'http://dbpedia.org/resource/Pittsburgh']",0.0,0.0,[],0,0.0
